BS1,1:basic_01/100/100/0
BS2,1:basic_02_R/100/100/0
BS3,1:basic_03_R/100/100/0
BS4,1:basic_04_R/100/100/0
BS5,1:basic_05_R/100/100/0
BS6,1:basic_06_F/100/100/0
BS7,1:basic_06_F/100/100/0
BS_BL0,1:basic_06_F/100/100/0
BSB1,1:basic_01/100/100/0
BSB2,1:basic_02_R/100/100/0
BSB3,1:basic_03_R/100/100/0
BSB4,1:basic_04_R/100/100/0
BSB5,1:basic_05_R/100/100/0
BSB6,1:basic_06_F/100/100/0
BSB7,1:basic_06_F/100/100/0
MB1,1:Masturbation_01/100/100/0
MB2,1:Masturbation_02_R/100/100/0
MB3,1:Masturbation_03_R/100/100/0
MB4,1:Masturbation_04_R/100/100/0
MB5,1:Masturbation_05_R/100/100/0
MB6,1:Masturbation_06_F/100/100/0
OV2,1:Open_Vagina_02/100/100/0
OV3,1:Open_Vagina_03/100/100/0
OL1,1:Open_legs_01/100/100/0
OL2,1:Open_legs_02_R/100/100/0
OL3,1:Open_legs_03_R/100/100/0
OL4,1:Open_legs_04_R/100/100/0
OL5,1:Open_legs_05_R/100/100/0
OL6,1:Open_legs_06_R/100/100/0
OL7,1:Open_legs_07_F/100/100/0
ISEX1,1:ISEX_01/100/100/0
ISEX2,1:Masturbation_02_R/100/100/0
ISEX3,1:Masturbation_03_R/100/100/0
ISEX4,1:Masturbation_04_R/100/100/0
ISEX5,1:Masturbation_05_R/100/100/0
ISEX6,1:Masturbation_06_F/100/100/0
ISEX7,1:Masturbation_06_F/100/100/0
ACC0,1:accident_00/100/100/0
HJ1,1:Masturbation_01/100/100/0
HJ2,1:Masturbation_02_R/100/100/0
HJ3,1:Masturbation_03_R/100/100/0
HJ4,1:Masturbation_04_R/100/100/0
HJ5,1:Masturbation_05_R/100/100/0
HJ6,1:Masturbation_06_F/100/100/0
HJ7,1:Masturbation_05_R/100/100/0
HJ8,1:Masturbation_06_F/100/100/0
BL_BJ1,1:BL_BJ_01/100/100/0
BL_BJ2,1:BJ_02_R/100/100/0
BL_BJ3,1:BJ_03_R/100/100/0
BL_BJ4,1:BJ_04_R/100/100/0
BL_BJ5,1:BJ_05_R/100/100/0
BL_BJ6,1:BJ_06_F/100/100/0
BL_SEX1,1:basic_01/100/100/0
BL_SEX2,1:basic_02_R/100/100/0
BL_SEX3,1:basic_03_R/100/100/0
BL_SEX4,1:basic_04_R/100/100/0
BL_SEX5,1:basic_05_R/100/100/0
BL_SEX6,1:basic_06_F/100/100/0
BL_SEX_RHJ1,1:basic_01/100/100/0
BL_SEX_RHJ2,1:basic_02_R/100/100/0
BL_SEX_RHJ3,1:basic_03_R/100/100/0
BL_SEX_RHJ4,1:basic_04_R/100/100/0
BL_SEX_RHJ5,1:basic_05_R/100/100/0
BL_SEX_RHJ6,1:basic_06_F/100/100/0
BL_SEX_R1,1:basic_01/100/100/0
BL_SEX_R2,1:basic_02_R/100/100/0
BL_SEX_R3,1:basic_03_R/100/100/0
BL_SEX_R4,1:basic_04_R/100/100/0
